NOFALLS
9 11
h f g g 0 g g f h
h 0 0 0 i 0 0 0 h
h 0 j 0 0 0 j 0 h
h j 0 0 0 0 0 0 h
h 0 0 0 4 j 0 0 h
h 0 0 j j 0 0 0 h
h 0 0 j 0 0 0 0 h
h 0 0 0 0 0 0 0 h
h 0 0 0 6 0 0 0 h
h j j 0 0 0 0 0 h
2 2 2 2 2 2 2 2 2

% --- Gameplay ---
% 0 -> Empty         % 7 -> AxeTrap
% 1 -> Coin          % 8 -> AxeTrap (inverted)
% 2 -> Wall          % 9 -> Bomb
% 3 -> Slime         % a -> Goblin
% 4 -> Giant         % b -> ArrowTrap (right)
% 5 -> SpikeTrap     % c -> ArrowTrap (left)
% 6 -> Player        % d -> ArrowTrap (up)
%                    % e -> ArrowTrap (down)
% --- Decoracions (NO compten com a enemics) ---
% f -> Torxa         % i -> Catifa
% g -> Cofre         % j -> Pila d'ossos
% h -> Barril
