FALLS
9 15
f 2 2 e 0 e h h f
2 2 0 0 0 0 0 h h
1 2 a 0 0 0 a h 1
0 2 0 0 0 0 0 h 0
0 2 0 0 0 0 0 h 0
0 0 0 0 0 0 0 0 0
0 3 0 j 0 0 0 3 0
0 0 0 0 0 j 0 0 0
0 0 0 j 0 j 0 0 0
5 5 5 5 5 5 5 5 5
1 0 0 j 0 j 0 0 1
5 5 5 5 5 5 5 5 5
0 0 0 j 0 j 0 0 0
0 0 1 j 6 j 1 0 0
f 1 g j 0 j g 1 f

% --- Gameplay ---
% 0 -> Empty         % 7 -> AxeTrap
% 1 -> Coin          % 8 -> AxeTrap (inverted)
% 2 -> Wall          % 9 -> Bomb
% 3 -> Slime         % a -> Goblin
% 4 -> Giant         % b -> ArrowTrap (right)
% 5 -> SpikeTrap     % c -> ArrowTrap (left)
% 6 -> Player        % d -> ArrowTrap (up)
%                    % e -> ArrowTrap (down)
% --- Decoracions (NO compten com a enemics) ---
% f -> Torxa         % i -> Catifa
% g -> Cofre         % j -> Pila d'ossos
% h -> Barril
